field,id,z_phot,log_mass,log_sigma1kpc,log_ssfr1kpc,log_xray_L210_unabs,bhar_msun_yr,image_path
ceers-full-grizli-v7.2,3945,4.38291788,10.02704041,8.42484608,-8.34389749,,,images/galaxy_gallery/ceers-full-grizli-v7.2_3945.png
ceers-full-grizli-v7.2,5760,3.00421977,11.18617852,10.20326849,-10.32739045,,,images/galaxy_gallery/ceers-full-grizli-v7.2_5760.png
ceers-full-grizli-v7.2,7670,1.87019837,11.35357392,9.95418877,-10.48253475,,,images/galaxy_gallery/ceers-full-grizli-v7.2_7670.png
ceers-full-grizli-v7.2,9303,3.52796721,10.93098580,10.01699162,-9.67382114,,,images/galaxy_gallery/ceers-full-grizli-v7.2_9303.png
ceers-full-grizli-v7.2,9589,4.46966600,10.37363189,9.21483270,-8.53211171,,,images/galaxy_gallery/ceers-full-grizli-v7.2_9589.png
ceers-full-grizli-v7.2,12229,4.39566612,9.94282121,8.92667573,-8.43512898,,,images/galaxy_gallery/ceers-full-grizli-v7.2_12229.png
ceers-full-grizli-v7.2,15655,1.52555180,11.41127978,10.10555705,-8.50144640,43.59364368,1.00603064e-01,images/galaxy_gallery/ceers-full-grizli-v7.2_15655.png
ceers-full-grizli-v7.2,17276,3.09021497,10.95270972,9.75737333,-8.35999416,43.94763935,2.41824513e-01,images/galaxy_gallery/ceers-full-grizli-v7.2_17276.png
ceers-full-grizli-v7.2,19174,3.77291179,10.88468513,9.59833077,-10.93483873,,,images/galaxy_gallery/ceers-full-grizli-v7.2_19174.png
ceers-full-grizli-v7.2,19318,2.73739624,11.10242145,10.09600614,-11.38090396,,,images/galaxy_gallery/ceers-full-grizli-v7.2_19318.png
ceers-full-grizli-v7.2,19427,1.08491051,11.08462286,9.57855795,-10.66426097,,,images/galaxy_gallery/ceers-full-grizli-v7.2_19427.png
ceers-full-grizli-v7.2,23809,0.83011055,11.29140047,9.89788326,-12.18626782,,,images/galaxy_gallery/ceers-full-grizli-v7.2_23809.png
ceers-full-grizli-v7.2,24053,4.28885984,9.92278687,8.99360353,-8.35914857,,,images/galaxy_gallery/ceers-full-grizli-v7.2_24053.png
