z_bin_index	z_bin_lower	z_bin_upper	redshift	field	id	radius_kpc	mass_sd_msun_kpc2	sfr_sd_msun_yr_kpc2	ssfr_yr-1	mass_weighted_age_gyr	reliable_measurement
0	5.00000000e-01	1.65125732e+00	1.52555180e+00	ceers-full-grizli-v7.2	15655	5.00000000e-01	1.39700092e+10	4.40301626e+01	3.15176333e-09	9.74388058e-01	1
0	5.00000000e-01	1.65125732e+00	1.52555180e+00	ceers-full-grizli-v7.2	15655	2.00000000e+00	4.02862855e+09	1.58594012e+00	3.93667499e-10	2.16856271e+00	1
0	5.00000000e-01	1.65125732e+00	1.52555180e+00	ceers-full-grizli-v7.2	15655	3.50000000e+00	1.44679018e+09	2.38430343e-01	1.64799530e-10	1.68835466e+00	1
0	5.00000000e-01	1.65125732e+00	1.52555180e+00	ceers-full-grizli-v7.2	15655	5.00000000e+00	6.89075680e+08	2.56926132e-01	3.72856189e-10	1.34502725e+00	1
0	5.00000000e-01	1.65125732e+00	1.52555180e+00	ceers-full-grizli-v7.2	15655	6.50000000e+00	3.11519794e+08	1.25827432e-01	4.03914726e-10	1.29789272e+00	1
0	5.00000000e-01	1.65125732e+00	1.52555180e+00	ceers-full-grizli-v7.2	15655	8.00000000e+00	1.73145954e+08	7.69212200e-02	4.44256526e-10	1.12450525e+00	1
0	5.00000000e-01	1.65125732e+00	1.52555180e+00	ceers-full-grizli-v7.2	15655	9.50000000e+00	9.48177727e+07	5.25288572e-02	5.53998008e-10	9.69905610e-01	1
0	5.00000000e-01	1.65125732e+00	1.52555180e+00	ceers-full-grizli-v7.2	15655	1.10000000e+01	5.26513547e+07	4.04688308e-02	7.68618986e-10	8.34747483e-01	1
0	5.00000000e-01	1.65125732e+00	1.52555180e+00	ceers-full-grizli-v7.2	15655	1.25000000e+01	2.97164991e+07	3.36387778e-02	1.13198993e-09	7.23083752e-01	1
0	5.00000000e-01	1.65125732e+00	1.52555180e+00	ceers-full-grizli-v7.2	15655	1.40000000e+01	1.67050539e+07	3.02275618e-02	1.80948604e-09	6.55839064e-01	1
0	5.00000000e-01	1.65125732e+00	1.52555180e+00	ceers-full-grizli-v7.2	15655	1.55000000e+01	1.00424060e+07	2.49388213e-02	2.48335124e-09	6.32061878e-01	1
