redshift	log_Sigma1kpc_Msun_kpc-2	log_sSFR1kpc_yr-1	xray_L_gt_5e43
4.38291788	8.42484608	-8.34389749	0
3.00421977	10.20326849	-10.32739045	0
1.87019837	9.95418877	-10.48253475	0
3.52796721	10.01699162	-9.67382114	0
4.46966600	9.21483270	-8.53211171	0
4.39566612	8.92667573	-8.43512898	0
1.52555180	10.10555705	-8.50144640	0
3.09021497	9.75737333	-8.35999416	1
3.77291179	9.59833077	-10.93483873	0
2.73739624	10.09600614	-11.38090396	0
1.08491051	9.57855795	-10.66426097	0
0.83011055	9.89788326	-12.18626782	0
4.28885984	8.99360353	-8.35914857	0
0.78916270	10.02662023	-13.63030426	0
4.49786091	9.46399942	-8.94565406	0
3.89179325	9.69973577	-9.50348613	0
1.75781965	10.19383082	-12.69896441	0
1.72938037	9.87766519	-11.08766104	0
2.19111347	10.06944001	-8.46109105	1
2.16587877	10.08915233	-10.66468338	0
4.40577364	8.91215068	-8.35206663	0
2.61258006	9.98339339	-8.40098668	0
1.01250005	10.13336581	-12.87868341	0
4.17147684	8.92893839	-8.25382826	0
1.52866185	9.84389844	-8.45830944	1
1.41927636	9.98581675	-11.94066177	1
3.43746710	9.65002791	-8.38103246	0
2.94252896	10.06477211	-9.78905388	0
2.89574099	10.21469586	-10.43390271	0
0.82530779	9.85722468	-8.92066758	0
3.45268393	9.51861618	-8.25765988	0
4.35458469	9.24743234	-8.38133187	0
3.44046998	10.35167160	-8.34831671	0
3.64016008	10.24940340	-8.40355976	1
4.30234480	8.76658267	-8.33698851	0
4.63033247	9.32135891	-8.30211014	0
3.38107371	9.73709923	-8.70948441	0
3.43430614	10.08246696	-8.36257974	0
1.53217006	9.62106301	-8.92264234	0
4.57240391	9.20321156	-8.21671522	0
2.80267906	10.01995102	-8.54154367	0
0.91516501	9.99798880	-8.77304222	0
1.75003076	9.94270816	-11.24347881	0
2.93255496	10.20241827	-8.48741325	0
1.65964341	9.71664139	-9.22160369	0
0.97539997	10.09156101	-12.48538873	0
2.25384045	9.95716662	-9.71200317	0
3.43273401	10.01203949	-9.39875902	0
4.45825958	9.25788095	-8.22827599	0
1.59420240	10.09504758	-9.19656282	0
0.73346692	10.10504592	-12.11835866	0
3.32370830	10.29926074	-10.08270420	0
3.46055079	9.90450370	-9.57065298	0
2.15617633	9.68540370	-8.45445594	0
2.04929662	10.21252589	-12.34902575	0
1.76776934	9.67282179	-8.85808381	0
2.00107718	10.38725333	-12.35147436	0
3.54031157	9.68262315	-8.57754587	0
2.20265698	10.19506086	-10.28853255	0
1.41129076	9.63811030	-8.87079803	0
2.52454996	10.10435110	-10.85339666	0
4.14270020	9.47583394	-8.58897791	0
2.41481781	10.40443102	-10.58603432	0
2.66202235	9.97075063	-11.15407404	1
2.52872992	9.85095930	-8.56235884	0
2.36147666	9.97760041	-11.03148557	0
2.51889992	9.36927423	-9.09705997	1
3.77870011	9.83726252	-8.53359057	0
1.45047998	10.08857288	-10.09178334	0
3.13951445	9.55105251	-8.56944517	0
3.07889795	10.25449994	-12.27912216	1
3.46095133	9.84051886	-10.18663280	0
1.82350004	9.98611113	-9.91046166	0
4.61999702	10.37903104	-8.23674273	0
1.70281315	10.00553815	-11.18574558	0
1.69100857	9.92677194	-10.34647977	0
3.89123011	9.94667177	-9.79689648	0
4.62659979	8.82255270	-8.31006895	0
1.68252623	10.06534182	-12.59201151	0
1.51587045	10.15363000	-8.84817955	0
1.67079997	10.12424434	-9.85986793	0
2.49524522	10.29780227	-12.72106448	0
1.65666986	9.85084798	-9.66245701	1
4.13397360	9.43322205	-8.67157378	0
0.62730002	10.12478446	-13.61972634	0
4.19289875	9.10322399	-8.30091896	0
1.72284722	9.86171228	-11.96237332	0
4.09408903	9.87908416	-9.40640823	0
0.77949834	10.14308313	-13.57518135	0
3.97063565	9.16542656	-8.39458065	0
1.99051523	10.22232753	-8.42211882	0
0.51751786	10.03940022	-11.79974178	0
2.76288986	9.99032360	-11.42896776	0
2.03800392	9.99840085	-9.92968503	0
2.46556640	9.94915684	-8.29168440	1
4.44778824	9.90907711	-8.92586488	0
4.35913992	9.05295380	-8.52656318	0
0.89026713	10.17585525	-10.95645641	0
1.00392902	10.08171928	-10.72803401	0
1.00090313	10.16863425	-10.56268842	0
2.89087510	9.92829801	-10.60230750	0
